date,obs_cfs,pred_cfs
1980-12-31,329.0,316.9079
1981-01-01,306.0,319.83118
1981-01-02,289.0,304.14954
1981-01-03,280.0,287.30783
1981-01-04,270.0,278.0352
1981-01-05,260.0,266.4136
1981-01-06,250.0,256.66785
1981-01-07,245.0,245.64145
1981-01-08,240.0,240.26294
1981-01-09,235.0,232.42903
1981-01-10,230.0,227.96503
1981-01-11,225.0,225.99887
1981-01-12,220.0,218.03131
1981-01-13,215.0,213.58766
1981-01-14,210.0,207.50333
1981-01-15,210.0,202.47343
1981-01-16,205.0,204.5151
1981-01-17,205.0,196.8194
1981-01-18,205.0,201.91667
1981-01-19,200.0,201.76906
1981-01-20,200.0,194.7057
1981-01-21,200.0,197.18651
1981-01-22,200.0,197.34262
1981-01-23,205.0,200.0703
1981-01-24,210.0,204.11598
1981-01-25,215.0,205.26608
1981-01-26,210.0,211.10461
1981-01-27,210.0,204.4194
1981-01-28,210.0,210.41364
1981-01-29,205.0,208.4177
1981-01-30,200.0,202.49265
1981-01-31,200.0,193.67789
1981-02-01,200.0,195.88667
1981-02-02,245.0,195.11336
1981-02-03,1360.0,250.65076
1981-02-04,1300.0,1316.6835
1981-02-05,1140.0,1047.3441
1981-02-06,990.0,955.0886
1981-02-07,828.0,856.176
1981-02-08,685.0,726.96643
1981-02-09,589.0,611.9985
1981-02-10,512.0,518.0011
1981-02-11,491.0,454.22058
1981-02-12,1560.0,462.0969
1981-02-13,1640.0,1530.5333
1981-02-14,1430.0,1443.9263
1981-02-15,1240.0,1213.1212
1981-02-16,984.0,1079.173
1981-02-17,824.0,860.2506
1981-02-18,815.0,742.63
1981-02-19,849.0,791.9884
1981-02-20,923.0,811.92267
1981-02-21,1100.0,911.52295
1981-02-22,1190.0,1094.355
1981-02-23,1090.0,1132.9456
1981-02-24,942.0,984.9602
1981-02-25,808.0,862.7196
1981-02-26,743.0,734.1808
1981-02-27,741.0,695.8493
1981-02-28,714.0,717.9857
1981-03-01,665.0,671.2487
1981-03-02,617.0,620.57355
1981-03-03,565.0,575.9883
1981-03-04,501.0,528.15173
1981-03-05,462.0,453.93915
1981-03-06,434.0,419.3195
1981-03-07,419.0,390.02988
1981-03-08,404.0,366.76987
