date,obs_cfs,pred_cfs
1980-12-31,585.0,581.0241
1981-01-01,550.0,551.82935
1981-01-02,540.0,515.3595
1981-01-03,530.0,525.74097
1981-01-04,520.0,516.7085
1981-01-05,510.0,507.43024
1981-01-06,490.0,499.89014
1981-01-07,485.0,474.82285
1981-01-08,480.0,481.07455
1981-01-09,470.0,476.84583
1981-01-10,460.0,468.00928
1981-01-11,450.0,457.40482
1981-01-12,445.0,447.70847
1981-01-13,440.0,445.73956
1981-01-14,435.0,440.73013
1981-01-15,430.0,434.5446
1981-01-16,430.0,428.21335
1981-01-17,425.0,436.87482
1981-01-18,420.0,430.022
1981-01-19,410.0,428.30585
1981-01-20,400.0,415.6951
1981-01-21,400.0,397.75186
1981-01-22,400.0,404.4442
1981-01-23,395.0,410.50464
1981-01-24,390.0,401.76566
1981-01-25,390.0,400.48206
1981-01-26,385.0,404.80008
1981-01-27,385.0,394.58136
1981-01-28,380.0,395.5835
1981-01-29,385.0,385.875
1981-01-30,385.0,400.63272
1981-01-31,385.0,401.2853
1981-02-01,390.0,398.4018
1981-02-02,395.0,402.51865
1981-02-03,660.0,409.08023
1981-02-04,660.0,892.9818
1981-02-05,660.0,681.30865
1981-02-06,660.0,676.0657
1981-02-07,620.0,671.5216
1981-02-08,570.0,596.5071
1981-02-09,545.0,532.37805
1981-02-10,540.0,520.27185
1981-02-11,545.0,535.7843
1981-02-12,570.0,550.8742
1981-02-13,625.0,592.6178
1981-02-14,725.0,666.9112
1981-02-15,810.0,806.3269
1981-02-16,900.0,868.667
1981-02-17,980.0,969.8332
1981-02-18,1100.0,1034.5773
1981-02-19,1200.0,1215.8883
1981-02-20,1400.0,1290.6619
1981-02-21,1550.0,1593.724
1981-02-22,1700.0,1677.404
1981-02-23,1900.0,1855.4363
1981-02-24,2100.0,2091.8953
1981-02-25,2310.0,2305.3528
1981-02-26,2510.0,2531.6553
1981-02-27,2670.0,2725.6504
1981-02-28,2740.0,2805.684
1981-03-01,2780.0,2780.399
1981-03-02,2780.0,2806.072
1981-03-03,2710.0,2778.6924
1981-03-04,2640.0,2624.545
1981-03-05,2560.0,2573.143
1981-03-06,2470.0,2487.5742
1981-03-07,2350.0,2386.5596
1981-03-08,2240.0,2246.4932
1981-03-09,2140.0,2136.7424
1981-03-10,2020.0,2052.9453
1981-03-11,1920.0,1913.3379
1981-03-12,1820.0,1831.5979
1981-03-13,1730.0,1740.6484
1981-03-14,1630.0,1665.2683
1981-03-15,1530.0,1554.3917
1981-03-16,1450.0,1452.9387
1981-03-17,1400.0,1398.6129
1981-03-18,1380.0,1370.2412
1981-03-19,1310.0,1368.8527
1981-03-20,1250.0,1247.7369
1981-03-21,1190.0,1203.1882
1981-03-22,1150.0,1146.8907
1981-03-23,1120.0,1122.6711
1981-03-24,1110.0,1103.7971
1981-03-25,1090.0,1113.4922
1981-03-26,1080.0,1076.1467
1981-03-27,1060.0,1076.0776
1981-03-28,1040.0,1052.8091
1981-03-29,1060.0,1032.4373
1981-03-30,1150.0,1085.8022
1981-03-31,1420.0,1248.3381
1981-04-01,1560.0,1709.6104
1981-04-02,1790.0,1712.2234
1981-04-03,2010.0,2085.2083
1981-04-04,2260.0,2257.5078
1981-04-05,2780.0,2560.6172
1981-04-06,3470.0,3323.1672
1981-04-07,3990.0,4122.529
1981-04-08,4310.0,4397.591
1981-04-09,4650.0,4583.622
1981-04-10,5260.0,4955.5146
1981-04-11,5780.0,5768.9775
1981-04-12,6080.0,6114.0723
1981-04-13,6120.0,6268.829
1981-04-14,6040.0,6124.577
1981-04-15,5930.0,5942.4043
1981-04-16,5640.0,5792.1777
1981-04-17,5350.0,5291.7324
1981-04-18,5050.0,5031.0635
1981-04-19,4850.0,4728.286
1981-04-20,4600.0,4662.5513
1981-04-21,4320.0,4390.495
1981-04-22,4060.0,4076.6
1981-04-23,3820.0,3850.0195
1981-04-24,3630.0,3599.51
1981-04-25,3570.0,3467.4504
1981-04-26,3460.0,3534.1323
1981-04-27,3370.0,3387.3752
1981-04-28,3290.0,3295.4534
1981-04-29,3210.0,3230.0054
1981-04-30,3430.0,3131.5247
1981-05-01,3550.0,3559.8608
1981-05-02,3580.0,3606.0347
1981-05-03,3570.0,3550.0757
1981-05-04,3540.0,3541.0667
1981-05-05,3470.0,3482.8396
1981-05-06,3380.0,3386.5527
1981-05-07,3270.0,3275.8984
1981-05-08,3150.0,3170.061
1981-05-09,3050.0,3046.6191
1981-05-10,2910.0,2973.936
1981-05-11,2730.0,2778.6284
1981-05-12,2590.0,2562.0972
1981-05-13,2520.0,2451.0806
1981-05-14,3020.0,2425.6836
1981-05-15,3210.0,3384.4373
1981-05-16,3200.0,3348.2979
1981-05-17,3270.0,3214.476
1981-05-18,3810.0,3330.7505
1981-05-19,3910.0,4136.2017
1981-05-20,3920.0,3953.1943
1981-05-21,3860.0,3915.46
1981-05-22,3730.0,3787.101
1981-05-23,3570.0,3590.7932
1981-05-24,3400.0,3418.851
1981-05-25,3200.0,3236.499
1981-05-26,3020.0,3023.4534
1981-05-27,2960.0,2867.4902
1981-05-28,2860.0,2895.853
1981-05-29,2770.0,2766.9458
1981-05-30,2930.0,2711.7598
1981-05-31,3110.0,3015.9307
1981-06-01,3180.0,3237.2563
1981-06-02,3150.0,3240.0615
1981-06-03,3060.0,3164.7441
1981-06-04,2960.0,3031.3496
1981-06-05,2840.0,2919.703
1981-06-06,2800.0,2768.2134
1981-06-07,2490.0,2786.4775
1981-06-08,2260.0,2308.0405
1981-06-09,2180.0,2123.4678
1981-06-10,2040.0,2135.7632
1981-06-11,1960.0,1957.2576
1981-06-12,1820.0,1892.8275
1981-06-13,1700.0,1707.8027
1981-06-14,1590.0,1577.1853
1981-06-15,1480.0,1492.8347
1981-06-16,1460.0,1372.0583
1981-06-17,1520.0,1423.6332
1981-06-18,1430.0,1527.6495
1981-06-19,1350.0,1372.5592
1981-06-20,1280.0,1304.9033
1981-06-21,1230.0,1236.2054
1981-06-22,1200.0,1175.1339
